Name,With,NotWith,Logic,Memory,Speed,Age
,,,Number,Number,Number,Number
,,,Asc,Asc,Desc,Asc
Caroline Benson,,,34,8,"48,45",11
Bernadette Kirk,,,20,6,"42,35",13
Miriam Goodwin,,,28,7,"38,74",11
Juanita Phelps,,,13,7,"41,94",14
Diana Burns,Juanita Phelps,,22,9,"49,28",11
Brendan Glass,,,22,5,60,11
Susana Greer,,,49,7,"42,2",12
Bert Flowers,,"Hal Howe,Leon Bates,Liz Briggs",14,7,"41,64",12
Hal Howe,,"Bert Flowers,Leon Bates,Liz Briggs",18,8,"41,8",15
Darin Tanner,,,33,8,"42,2",13
Liz Briggs,,"Leon Bates,Hal Howe,Bert Flowers",49,9,"34,9",15
Tammie Heath,,,49,9,"38,32",15
Keith Fields,,,34,5,64,13
Allen FitzGerald,,,23,6,"55,31",13
Toby Dorsey,,,9,9,"45,36",12
Harvey Maddox,,,8,6,"53,93",10
Shaun Brennan,,,18,7,"51,48",14
Brent Austin,,,41,5,"51,38",11
Ali Stewart,,,33,6,"34,48",12
Pam Hughes,,,41,8,43,12
Myra Williamson,,,18,6,"49,16",11
Josefina Johnson,,,22,5,"56,91",14
Emma Barnes,,,25,"3,5","58,29",11
Laurie Larson,,,25,8,"39,83",13
Leon Bates,,"Liz Briggs,Hal Howe,Bert Flowers",18,5,"39,22",12
Virginia Gallagher,,,20,6,"40,83",12
Cecil Sellers,,,49,10,"42,37",13
Joanne Moran,,,18,9,"44,29",13
